再生日時,アーティスト,曲名
2025-06-28 21:08:21.573000+00:00,"Creepy Nuts, Ayase, Lilas",ばかまじめ
2025-06-24 23:27:03.688000+00:00,『ユイカ』,恋泥棒。
2025-06-24 23:23:20.410000+00:00,"MAISONdes, 和ぬか, asmi",ヨワネハキ
2025-06-24 23:19:28.127000+00:00,Ai Otsuka,さくらんぼ
2025-06-24 23:15:33.500000+00:00,Motohiro Hata,ひまわりの約束
2025-06-23 01:45:45.798000+00:00,Rokudenashi,ただ声一つ
2025-06-22 09:05:11.002000+00:00,Lilas,スパークル
2025-06-22 09:00:34.218000+00:00,Lilas,Answer
2025-06-22 08:56:34.796000+00:00,YOASOBI,ハルカ
2025-06-19 08:49:38.399000+00:00,YOASOBI,もう少しだけ
2025-06-19 05:57:04.244000+00:00,Kenshi Yonezu,馬と鹿
2025-06-18 13:29:11.019000+00:00,YOASOBI,三原色
2025-06-18 13:26:30.165000+00:00,YOASOBI,ハルカ
2025-06-18 13:25:22.842000+00:00,ヨルシカ,春泥棒
2025-06-18 13:20:07.517000+00:00,YOASOBI,ハルカ
2025-06-18 13:15:02.240000+00:00,"milet, Aimer, Lilas",おもかげ (produced by Vaundy)
2025-06-18 13:11:53.030000+00:00,Kenshi Yonezu,orion
2025-06-18 13:06:09.991000+00:00,Gen Hoshino,恋
2025-06-18 13:04:38.541000+00:00,Gen Hoshino,恋
2025-06-18 12:12:13.276000+00:00,"milet, Aimer, Lilas",おもかげ (produced by Vaundy)
2025-06-18 12:09:07.912000+00:00,Kenshi Yonezu,orion
2025-06-18 12:04:21.436000+00:00,Gen Hoshino,恋
2025-06-18 11:24:58.489000+00:00,YOASOBI,アンコール
2025-06-17 08:44:55.941000+00:00,Bruno Mars,Talking to the Moon
2025-06-17 08:41:15.399000+00:00,Justin Bieber,Sorry
2025-06-16 07:16:24.413000+00:00,Bruno Mars,Just the Way You Are
2025-06-16 06:55:05.399000+00:00,Jason Mraz,I'm Yours
2025-06-16 06:51:01.955000+00:00,Sabrina Carpenter,Nonsense
2025-06-16 06:48:17.638000+00:00,"Lady Gaga, Bruno Mars",Die With A Smile
2025-06-16 06:44:02.507000+00:00,Sabrina Carpenter,Espresso
2025-06-16 06:41:06.598000+00:00,"Shawn Mendes, Camila Cabello",Señorita
2025-06-16 06:37:55.338000+00:00,Justin Bieber,Ghost
2025-06-15 04:14:25.111000+00:00,neguse.,アタシのドレス
2025-06-14 16:51:57.464000+00:00,YOASOBI,夜に駆ける
2025-06-14 14:59:30.997000+00:00,YOASOBI,たぶん
